1.000000000000000021e-02 1.000000000000000000e+00 2.295805279524283115e-08 3.531655320718968452e-09 -8.691535892639039763e-10 -2.604821655435581458e-09 -1.679787604296299284e-08 -2.319771365882945742e-08 -2.750629177970625391e-08 -5.259586434710639868e-08
1.013596500938556896e-02 9.999987311807854162e-01 2.358824208351153946e-08 3.628894014505284850e-09 -8.930546207537319752e-10 -2.676310295370155472e-09 -1.725925512379327409e-08 -2.383482193008715539e-08 -2.826186636941658734e-08 -5.404047689849332789e-08
1.027377866714885950e-02 9.999974487920985089e-01 2.423575231561829316e-08 3.728817632293737037e-09 -9.176143926475810905e-10 -2.749763279365331567e-09 -1.773332717571867472e-08 -2.448945545850779634e-08 -2.903823046676379105e-08 -5.552483149348864609e-08
1.041346610843927462e-02 9.999961526888430097e-01 2.490106048192713613e-08 3.831500621579708304e-09 -9.428511207053184326e-10 -2.825234679738947937e-09 -1.822044223229949283e-08 -2.516209744682091930e-08 -2.983595750493281678e-08 -5.705002407191163380e-08
1.055505281015629848e-02 9.999948427243728899e-01 2.558465674558945253e-08 3.937019506927337739e-09 -9.687835268549993889e-10 -2.902780061163004813e-09 -1.872096001408574416e-08 -2.585324446638230471e-08 -3.065563679159878647e-08 -5.861718090209113358e-08
1.069856459559610611e-02 9.999935187504734868e-01 2.628704480794422618e-08 4.045452948458731357e-09 -9.954308533624228156e-10 -2.982456522021515953e-09 -1.923525019816543272e-08 -2.656340682901185948e-08 -3.149787395085542112e-08 -6.022745942473803872e-08
1.084402763916134105e-02 9.999921806173466265e-01 2.700874228385305337e-08 4.156881801971198672e-09 -1.022812877391519558e-09 -3.064322736891146954e-09 -1.976369269507779937e-08 -2.729310896898476031e-08 -3.236329137722755256e-08 -6.188204911987323121e-08
1.099146847113493392e-02 9.999908281735930826e-01 2.775028108778423206e-08 4.271389180812104562e-09 -1.050949925987037766e-09 -3.148439000236853272e-09 -2.030667793369161826e-08 -2.804288983600351227e-08 -3.325252870275111043e-08 -6.358217239868994630e-08
1.114091398251883941e-02 9.999894612661940352e-01 2.851220783044080328e-08 4.389060519484255762e-09 -1.079862891472419833e-09 -3.234867271299047505e-09 -2.086460715390269262e-08 -2.881330329894921301e-08 -3.416624327688313032e-08 -6.532908551989354285e-08
1.129239142993853674e-02 9.999880797404963051e-01 2.929508420930219422e-08 4.509983647634962516e-09 -1.109573260839833964e-09 -3.323671208736909033e-09 -2.143789272478794639e-08 -2.960491856662789773e-08 -3.510511065405042426e-08 -6.712407954053888760e-08
1.144592844061424926e-02 9.999866834401931470e-01 3.009948749712497690e-08 4.634248823198821491e-09 -1.140103077836889913e-09 -3.414916264122399668e-09 -2.202695838554331740e-08 -3.041832059255996808e-08 -3.606982512515185611e-08 -6.896848125110990229e-08
1.160155301739971417e-02 9.999852722073065969e-01 3.092601086879052871e-08 4.761948852863512469e-09 -1.171475041010235478e-09 -3.508669661604725196e-09 -2.263223966627086257e-08 -3.125411054672025979e-08 -3.706110020285945648e-08 -7.086365422168017630e-08
1.175929354388950687e-02 9.999838458821714848e-01 3.177526391358315408e-08 4.893179129121991521e-09 -1.203712466729591123e-09 -3.605000494091015457e-09 -2.325418414655632066e-08 -3.211290624464263753e-08 -3.807966918206569328e-08 -7.281099979221163717e-08
1.191917878959576627e-02 9.999824043034137855e-01 3.264787307321153070e-08 5.028037712069302187e-09 -1.236839320449636264e-09 -3.703979763254466464e-09 -2.389325180884793260e-08 -3.299534261672188490e-08 -3.912628568523300876e-08 -7.481195813365964344e-08
1.208123791519533259e-02 9.999809473079368516e-01 3.354448210982887995e-08 5.166625404747214925e-09 -1.270880234922374034e-09 -3.805680432488244158e-09 -2.454991538411843429e-08 -3.390207218497340518e-08 -4.020172422921382194e-08 -7.686800933011308187e-08
1.224550047784821530e-02 9.999794747308988763e-01 3.446575258704564646e-08 5.309045830633329821e-09 -1.305860528922883829e-09 -3.910177481327082850e-09 -2.522466070717362651e-08 -3.483376555308879827e-08 -4.130678080790157018e-08 -7.898067449113148043e-08
1.241199643658837636e-02 9.999779864056977940e-01 3.541236436460661919e-08 5.455405513384354819e-09 -1.341806226514840441e-09 -4.017547961412544546e-09 -2.591798708210536861e-08 -3.579111191047378104e-08 -4.244227349152956131e-08 -8.115151689583814087e-08
1.258075615778781603e-02 9.999764821639490764e-01 3.638501610676784427e-08 5.605813958845462620e-09 -1.378744076858103248e-09 -4.127871054005649474e-09 -2.663040765792108086e-08 -3.677481955031136531e-08 -4.360904304267179347e-08 -8.338214316886902898e-08
1.275181042069493259e-02 9.999749618354699665e-01 3.738442580479378216e-08 5.760383739397220282e-09 -1.416701574575278494e-09 -4.241228129094284366e-09 -2.736244981466385577e-08 -3.778561640208316022e-08 -4.480795354946162539e-08 -8.567420448916099988e-08
1.292519042304821064e-02 9.999734252482571639e-01 3.841133131440379564e-08 5.919230580774899633e-09 -1.455706980709739701e-09 -4.357702806189141139e-09 -2.811465556063699923e-08 -3.882425057939481968e-08 -4.603989307703510178e-08 -8.802939783350020408e-08
1.310092778676621127e-02 9.999718722284708372e-01 3.946649090782595261e-08 6.082473451314698377e-09 -1.495789344263196045e-09 -4.477381016769058682e-09 -2.888758194048932737e-08 -3.989149094276830384e-08 -4.730577433680185381e-08 -9.044946725406833137e-08
1.327905456371494472e-02 9.999703026004116424e-01 4.055068384172432557e-08 6.250234653829720575e-09 -1.536978524361937635e-09 -4.600351068519079267e-09 -2.968180145509573476e-08 -4.098812767868963589e-08 -4.860653537507565241e-08 -9.293620519291166938e-08
